1188,2010-11-12 22:38:34.259648+00,2010-03-06 16:31:30.537038+00,Bedford Leigh,1499,t,,,,
4327,2011-06-15 15:44:54.357307+00,2011-06-15 15:43:07.629816+00,Coleshill Ex Servicemens,882,t,,,,
114,2009-03-12 22:49:08.644238+00,2009-03-12 22:49:08.643514+00,Oldham Band (Lees),181,f,,,,
786,2009-09-28 18:33:20.051813+00,2009-09-28 18:33:20.035095+00,Grays Temperance,845,f,,,,
131,2010-11-12 22:38:51.959561+00,2009-03-14 16:22:54.824938+00,BHK (UK) Ltd Horden,291,t,,,,
117,2009-03-12 23:16:23.959958+00,2009-03-12 23:16:23.959862+00,Buy As You View Cory,4,f,,,,
5572,2011-11-20 12:27:51.63365+00,2011-11-20 12:27:51.633568+00,Van de Kreeke Brass Band Limburg,1220,f,,,,
119,2009-03-13 14:08:29.412484+00,2009-03-13 14:08:29.41238+00,Fodens (Courtois),3,f,,,,
546,2010-11-12 22:38:51.96262+00,2009-05-17 15:33:31.354033+00,BHK (UK) Ltd. Horden,291,t,,,,
690,2010-11-12 22:38:51.965513+00,2009-07-25 11:00:57.398519+00,Horden BHK (UK),291,t,,,,
5262,2011-10-10 18:58:52.295353+00,2011-10-10 18:58:52.295281+00,Melingriffith Works,363,f,,,,
123,2009-03-14 15:36:07.27113+00,2009-03-14 15:36:07.270349+00,Stanshawe,269,f,,,,
1645,2011-05-21 17:59:26.952871+00,2010-07-18 18:20:49.152001+00,Kirkbymoorside Band,298,t,,,,
125,2009-03-14 15:36:07.353992+00,2009-03-14 15:36:07.270929+00,Sun Life Stanshawe,269,f,,,,
5194,2011-10-04 07:28:25.04276+00,2011-10-04 07:28:25.042654+00,Stockport Schools Senior Brass Band,2039,f,,,,
127,2009-03-14 15:51:20.912528+00,2009-03-14 15:51:20.912289+00,Pemberton Old JJB B Band,208,f,,,,
128,2009-03-14 15:53:33.852281+00,2009-03-14 15:53:33.852019+00,United Co-op (Crewe) Band,234,f,,,,
129,2009-03-14 15:56:10.705731+00,2009-03-14 15:56:10.705476+00,Cold Ash Band,385,f,,,,
3009,2011-03-12 20:28:45.882589+00,2011-03-12 20:28:45.882508+00,Dronfield C.M.W.,863,f,,,,
622,2010-11-12 22:39:11.327938+00,2009-06-02 22:32:37.059674+00,Radyr and Morganstown,363,t,,,,
5723,2011-12-10 15:30:24.833042+00,2011-12-10 15:30:24.651254+00,Houghton Kepier Youth Band,1474,f,,,,
787,2009-09-28 18:33:20.114152+00,2009-09-28 18:33:20.038538+00,Thurrock Silver,845,f,,,,
134,2009-03-14 16:45:28.627587+00,2009-03-14 16:45:28.627481+00,Staffordshire Building Society,236,f,,,,
135,2009-03-14 17:03:20.809837+00,2009-03-14 17:03:20.809723+00,Rothwell Band (Leeds),276,f,,,,
136,2009-03-14 17:03:39.65199+00,2009-03-14 17:03:39.651379+00,David A Hall Whitburn,12,f,,,,
138,2009-03-14 17:13:17.27119+00,2009-03-14 17:13:17.271077+00,Newtongrange (B & C Decorators),232,f,,,,
139,2009-03-14 17:13:43.001689+00,2009-03-14 17:13:43.001594+00,Newtongrange (B and C Decorators),232,f,,,,
140,2009-03-14 17:16:11.814879+00,2009-03-14 17:16:11.814775+00,Thoresby Colliery (Joy Manufacturing),118,f,,,,
141,2009-03-14 17:16:27.109029+00,2009-03-14 17:16:27.108934+00,Newtongrange Brass,232,f,,,,
143,2009-03-14 17:19:16.91861+00,2009-03-14 17:19:16.918515+00,Murray International Whitburn,12,f,,,,
144,2009-03-14 17:24:05.733144+00,2009-03-14 17:24:05.733021+00,Christie Tyler Cory,4,f,,,,
145,2009-03-14 17:27:40.135635+00,2009-03-14 17:27:40.135523+00,Scottish Brewers (Newtongrange),232,f,,,,
147,2009-03-14 17:28:10.793523+00,2009-03-14 17:28:10.79341+00,Alder Valley Aldershot Brass,323,f,,,,
3932,2011-05-22 11:14:33.990914+00,2011-05-22 11:14:33.990843+00,Nottingham Co op,3356,f,,,,
150,2009-03-14 17:32:07.312459+00,2009-03-14 17:32:07.312362+00,John Foster Black Dyke Mills,2,f,,,,
153,2011-05-06 20:05:23.612879+00,2009-03-14 17:35:53.991869+00,Parc and Dare (National Fuel Distributors),47,t,,,,
1257,2011-05-06 20:05:23.616228+00,2010-03-20 13:26:57.460933+00,Parc & Dare British Fuels,47,t,,,,
154,2009-03-14 17:36:11.208109+00,2009-03-14 17:36:11.208002+00,Airquick (Newark) Ransome,117,f,,,,
155,2009-03-14 17:37:06.867021+00,2009-03-14 17:37:06.866913+00,Coal Products (CPL),26,f,,,,
156,2009-03-14 17:41:44.582668+00,2009-03-14 17:41:44.582554+00,Desford Colliery Dowty,19,f,,,,
2308,2011-02-21 20:04:06.259996+00,2011-02-05 18:22:58.075241+00,Britannia Building Society Foden Band,3,t,,,,
158,2009-03-14 17:42:33.67397+00,2009-03-14 17:42:33.673865+00,National Smokeless Fuels (Coal Products),26,f,,,,
160,2009-03-14 17:49:38.41362+00,2009-03-14 17:49:38.413521+00,Johnstone Silver,322,f,,,,
2832,2011-02-25 14:30:32.167021+00,2011-02-25 14:30:32.166935+00,Deritend Luton,819,f,,,,
162,2009-03-14 17:58:43.910818+00,2009-03-14 17:58:43.910705+00,RMT Easington Colliery,410,f,,,,
3933,2011-05-22 11:14:49.84071+00,2011-05-22 11:14:49.84064+00,Lowerplace Rochdale,2606,f,,,,
3685,2011-05-06 20:05:23.619212+00,2011-05-06 19:58:53.678838+00,Park and Dare Workmen's Band,47,t,,,,
